Cell_ID	Cluster	Trajectory_ID	Pseudo_time	X_coord	Y_coord
Cell_132	2	1	NA	3.54042309855738	4.39324249147945
Cell_133	1	1	NA	0.796009063819574	-1.71755082539635
Cell_134	2	1	NA	1.78610039200748	-0.0987665430032431
Cell_135	2	1	NA	4.28240312031982	2.09294469173274
Cell_136	3	1	NA	-1.61236656172789	9.3317066296437
Cell_137	2	1	NA	3.51476048117893	2.91693564896389
Cell_138	2	1	NA	2.32383063241789	1.14988921778693
Cell_139	1	1	NA	-5.15062254356591	-4.00867774959507
Cell_140	2	1	NA	1.62868983267596	0.657131923383055
Cell_141	3	1	NA	-1.0038986329112	9.19357546845755
Cell_142	2	1	NA	2.30679716841144	0.208993902950812
Cell_143	3	1	NA	3.17049381998048	6.04500862875585
Cell_144	1	1	NA	-0.789719390364604	-2.52492596410626
Cell_145	1	1	NA	0.138186150416271	-1.84970538893038
Cell_146	2	1	NA	3.75925537760582	5.12535459662811
Cell_147	1	1	NA	-2.78265396637424	-3.26049826361769
Cell_148	2	1	NA	3.76534070942027	4.51955112719733
Cell_149	2	1	NA	2.83773571980836	1.07464533528095
Cell_150	3	1	NA	2.79316648924171	6.38420005560822
Cell_151	2	1	NA	3.3219666448651	1.20133424132521
Cell_152	2	1	NA	1.26920744933611	0.0358521061396091
Cell_153	2	1	NA	3.336410026582	5.35997597444892
Cell_154	1	1	NA	-1.64108608377713	-4.42489754169032
Cell_155	1	1	NA	0.97357721469049	-2.97312079574693
Cell_156	2	1	NA	1.89028932082859	-1.6267344316901
Cell_157	3	1	NA	3.43992630833216	5.76598160645564
Cell_158	2	1	NA	4.20171759641387	3.78078032845087
Cell_159	1	1	NA	-5.79697442739789	-4.70523724863216
Cell_160	2	1	NA	3.86565518229606	3.16468175386571
Cell_161	1	1	NA	-0.612461575190147	-2.53471927786094
Cell_162	1	1	NA	-0.364710060174152	-2.5182092691926
Cell_163	1	1	NA	0.464339113717267	-1.98397576896335
Cell_164	2	1	NA	1.6175656204032	-1.21562711027398
Cell_165	2	1	NA	3.54099773020331	0.649795284831976
Cell_166	2	1	NA	2.04887232555825	0.0293304182117429
Cell_167	2	1	NA	4.35936819527277	3.0488432257046
Cell_168	1	1	NA	-2.80348507144427	-3.20903863253838
Cell_169	2	1	NA	3.98982141438067	2.77977106404029
Cell_170	1	1	NA	-1.31970202326922	-2.63861395138275
Cell_171	3	1	NA	2.61956228350679	7.46133244150882
Cell_172	1	1	NA	-4.61259155683583	-3.58670880361238
Cell_173	1	1	NA	1.11510017464827	-1.14811772288533
Cell_174	2	1	NA	2.14018067111442	-0.300145251256288
Cell_175	2	1	NA	3.02849719005393	2.81424790626748
Cell_176	2	1	NA	2.62403963571583	1.25819741483128
Cell_177	2	1	NA	1.6186770730753	-1.49941990048074
Cell_178	1	1	NA	-1.5168896300507	-3.61133746518972
Cell_179	1	1	NA	-4.5928050016722	-3.82982807478009
Cell_180	2	1	NA	3.65857865585316	4.06356978884097
Cell_181	2	1	NA	2.75072060873609	-0.126709160645231
Cell_182	2	1	NA	4.24440052949766	2.88990959951698
Cell_183	1	1	NA	-7.76334768459415	-3.98411705184639
Cell_184	3	1	NA	3.42813627134878	6.68218739484271
Cell_185	2	1	NA	3.71493418735342	2.2777999035324
Cell_186	2	1	NA	3.56744575753523	1.53847265754401
Cell_187	2	1	NA	1.55136678421293	-0.460065414426709
Cell_188	2	1	NA	4.03610334511988	4.57777664233975
Cell_189	2	1	NA	1.74130581253294	-0.504629026817421
Cell_190	3	1	NA	-0.871244228339565	9.20979565830426
Cell_191	1	1	NA	1.19427279415215	-0.23346909267103
Cell_192	1	1	NA	-2.43964400966325	-2.85980387121804
Cell_193	1	1	NA	1.07341635476525	-3.21675118148333
Cell_194	1	1	NA	3.77650051813575	-8.03680552373588
Cell_195	1	1	NA	-3.90265872519037	-4.0937358221387
Cell_196	2	1	NA	2.98539250156043	1.24630893015434
Cell_197	2	1	NA	4.20098453513671	0.23282287803116
Cell_198	2	1	NA	3.31496561649282	2.43148111162883
Cell_199	1	1	NA	-1.73264556821174	-1.29013218912799
Cell_200	1	1	NA	-0.364791862406528	-1.77593479750752
Cell_201	1	1	NA	-5.07905969657748	-4.38716021524296
